city_code,avg_price,num_package,discount_amount_limit
134,16.7111655,122690,820117
135,17.98436683,113266,814807
136,18.41404133,105060,773832
137,16.0574443,133605,858142
138,31.77199499,100841,1281568
139,34.8323399,116025,1616569
140,32.61762724,103937,1356071
141,35.01450671,129627,1815530
142,29.14294446,100247,1168597
143,33.24453752,102629,1364741
144,29.72748443,106921,1271397
145,29.68428704,105679,1254802
146,18.69737875,120556,901632
147,16.34513467,124124,811529
148,32.44875247,127835,1659235
149,18.37669212,133477,981146
150,30.14138226,107027,1290377
151,32.28480405,130466,1684828
152,16.51661778,123680,817110
153,32.22592452,99541,1283120
154,38.44852158,96169,1479022
155,30.87896369,113368,1400275
156,31.91959686,104835,1338516
157,16.39290129,133122,872902
158,18.1695723,113672,826149
159,31.24442757,111342,1391527
160,30.8127085,99713,1228971
161,30.87110338,103619,1279533
162,29.83581457,106115,1266411
163,45.9071144,116519,2139620
164,29.07234468,108588,1262763
165,34.59980133,102817,1422979
166,28.5841907,103606,1184597
167,37.52874217,96686,1451402
168,15.53553923,129200,802877
169,34.95350459,113424,1585827
170,33.49103774,107545,1440717
171,30.12247347,127226,1532945
172,30.54364036,102136,1247842
173,30.98236595,98757,1223890
174,31.3448131,103005,1291469
175,30.90745672,100226,1239092
176,34.0646308,119637,1630156
177,32.99815498,97765,1290426
178,16.33110198,114193,745959
179,31.2970133,98688,1235456
180,30.07489701,100246,1205955
181,38.31851935,104848,1607048
182,32.27008101,130179,1680355
183,35.16059137,99345,1397212
184,30.94780721,106759,1321583
185,38.04945745,110008,1674298
186,31.48163987,107688,1356078
187,16.51593023,131713,870145
188,32.50438002,117484,1527498
189,33.0485033,107131,1416208
190,31.77398351,97748,1242337
191,18.41510034,112969,832134
192,29.93426174,100485,1203178
193,18.72399816,114907,860607
194,54.1424726,100586,2178390
195,32.74706978,99237,1299888
196,43.89632597,96850,1700544
197,33.76481878,97309,1314248
198,29.84725666,100070,1194726
199,17.94132272,119330,856375
